Entrada,Equilíbrio (rad),Sobressinal (rad),Overshoot,$\omega_n,$\xi$,$\alpha$,$\beta$
5,0.111806085039441,0.132732289614169,0.187165166970524,5.31431083116125,0.470642400982717,28.2418996101978,5.00228001829237
10,0.241670124432211,0.343218997404685,0.420196220823971,4.68926833768166,0.266039412440776,21.9892375427837,2.49506038666793
15,0.387515469525118,0.583550835404304,0.505877523081641,4.55979130410531,0.211985777602015,20.7916967369944,1.93322181060734
20,0.515639493130778,0.785398163397448,0.523153625469593,4.5824316354426,0.201976396141003,20.9986796935052,1.85108605457844
25,0.665754586787454,1.03908177017482,0.560757959158539,4.34613008400298,0.181087182473823,18.8888467070757,1.57405690315364
